dataset,canonical_name,name_source,author_year,n_subjects,n_records,n_tasks,modality of exp,type of exp,Type Subject,duration_hours_total,size_bytes,size,source,dataset_title,record_modality,nchans_set,sampling_freqs,license,doi,nemar_citation_count
EEG2025r1,"[""HBN_r1_bdf""]",canonical,Shirazi2024_R1_bdf,136,1342,10,Visual,Clinical/Intervention,Development,,22141722527.0,20.6 GB,nemar,Healthy Brain Network (HBN) EEG - Release 1 (BDF Converted),eeg,"[{""val"": 129, ""count"": 1342}]","[{""val"": 100.0, ""count"": 1342}]",CC-BY-SA 4.0,10.18112/openneuro.ds005505.v1.0.1,
EEG2025r10,"[""HBN_r10_bdf""]",canonical,Shirazi2025_R10_bdf,533,2516,8,Visual,Clinical/Intervention,Development,,34477112576.0,32.1 GB,nemar,Healthy Brain Network (HBN) EEG - Release 10 (BDF Converted),eeg,"[{""val"": 129, ""count"": 2516}]","[{""val"": 100.0, ""count"": 2516}]",CC-BY-SA 4.0,,
EEG2025r10mini,"[""HBN_r10_bdf_mini""]",canonical,Shirazi2025_R10_bdf_mini,20,220,8,Visual,Clinical/Intervention,Development,,3014691878.0,2.8 GB,nemar,Healthy Brain Network (HBN) EEG - Release 10 (BDF Converted),eeg,"[{""val"": 129, ""count"": 220}]","[{""val"": 100.0, ""count"": 220}]",CC-BY-SA 4.0,,
EEG2025r11,"[""HBN_r11_bdf""]",canonical,Shirazi2025_R11_bdf,430,3397,8,Visual,Clinical/Intervention,Development,,47062121390.0,43.8 GB,nemar,Healthy Brain Network (HBN) EEG - Release 11 (BDF Converted),eeg,"[{""val"": 129, ""count"": 3397}]","[{""val"": 100.0, ""count"": 3397}]",CC-BY-SA 4.0,,
EEG2025r11mini,"[""HBN_r11_bdf_mini""]",canonical,Shirazi2025_R11_bdf_mini,20,220,8,Visual,Clinical/Intervention,Development,,3047885400.0,2.8 GB,nemar,Healthy Brain Network (HBN) EEG - Release 11 (BDF Converted),eeg,"[{""val"": 129, ""count"": 220}]","[{""val"": 100.0, ""count"": 220}]",CC-BY-SA 4.0,,
EEG2025r1mini,"[""HBN_r1_bdf_mini""]",canonical,Shirazi2024_R1_bdf_mini,20,239,10,Visual,Clinical/Intervention,Development,,3943272491.0,3.7 GB,nemar,Healthy Brain Network (HBN) EEG - Release 1 (BDF Converted),eeg,"[{""val"": 129, ""count"": 239}]","[{""val"": 100.0, ""count"": 239}]",CC-BY-SA 4.0,10.18112/openneuro.ds005505.v1.0.1,
EEG2025r2,"[""HBN_r2_bdf""]",canonical,Shirazi2024_R2_bdf,150,1405,10,Visual,Clinical/Intervention,Development,,24025278407.0,22.4 GB,nemar,Healthy Brain Network (HBN) EEG - Release 2 (BDF Converted),eeg,"[{""val"": 129, ""count"": 1405}]","[{""val"": 100.0, ""count"": 1405}]",CC-BY-SA 4.0,10.18112/openneuro.ds005506.v1.0.1,
EEG2025r2mini,"[""HBN_r2_bdf_mini""]",canonical,Shirazi2024_R2_bdf_mini,20,240,10,Visual,Clinical/Intervention,Development,,4103962147.0,3.8 GB,nemar,Healthy Brain Network (HBN) EEG - Release 2 (BDF Converted),eeg,"[{""val"": 129, ""count"": 240}]","[{""val"": 100.0, ""count"": 240}]",CC-BY-SA 4.0,10.18112/openneuro.ds005506.v1.0.1,
EEG2025r3,"[""HBN_r3_bdf""]",canonical,Shirazi2024_R3_bdf,184,1812,10,Visual,Clinical/Intervention,Development,,29929328615.0,27.9 GB,nemar,Healthy Brain Network (HBN) EEG - Release 3 (BDF Converted),eeg,"[{""val"": 129, ""count"": 1812}]","[{""val"": 100.0, ""count"": 1812}]",CC-BY-SA 4.0,10.18112/openneuro.ds005507.v1.0.1,
EEG2025r3mini,"[""HBN_r3_bdf_mini""]",canonical,Shirazi2024_R3_bdf_mini,20,240,10,Visual,Clinical/Intervention,Development,,3964149485.0,3.7 GB,nemar,Healthy Brain Network (HBN) EEG - Release 3 (BDF Converted),eeg,"[{""val"": 129, ""count"": 240}]","[{""val"": 100.0, ""count"": 240}]",CC-BY-SA 4.0,10.18112/openneuro.ds005507.v1.0.1,
